TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
T10101,A191RL,1,Gross domestic product,1965Q3,Fisher Quantity Index,"Percent change, annual rate",0,9.2,T10101
T10101,A191RL,1,Gross domestic product,1965Q4,Fisher Quantity Index,"Percent change, annual rate",0,9.5,T10101
T10101,A191RL,1,Gross domestic product,1966Q1,Fisher Quantity Index,"Percent change, annual rate",0,10.1,T10101
T10101,A191RL,1,Gross domestic product,1966Q2,Fisher Quantity Index,"Percent change, annual rate",0,1.4,T10101
T10101,A191RL,1,Gross domestic product,1966Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.4,T10101
T10101,A191RL,1,Gross domestic product,1966Q4,Fisher Quantity Index,"Percent change, annual rate",0,3.3,T10101
T10101,A191RL,1,Gross domestic product,1967Q1,Fisher Quantity Index,"Percent change, annual rate",0,3.6,T10101
T10101,A191RL,1,Gross domestic product,1967Q2,Fisher Quantity Index,"Percent change, annual rate",0,0.2,T10101
T10101,A191RL,1,Gross domestic product,1967Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.8,T10101
T10101,A191RL,1,Gross domestic product,1967Q4,Fisher Quantity Index,"Percent change, annual rate",0,3.1,T10101
T10101,A191RL,1,Gross domestic product,1968Q1,Fisher Quantity Index,"Percent change, annual rate",0,8.4,T10101
T10101,A191RL,1,Gross domestic product,1968Q2,Fisher Quantity Index,"Percent change, annual rate",0,6.9,T10101
T10101,A191RL,1,Gross domestic product,1968Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.1,T10101
T10101,A191RL,1,Gross domestic product,1968Q4,Fisher Quantity Index,"Percent change, annual rate",0,1.6,T10101
T10101,A191RL,1,Gross domestic product,1969Q1,Fisher Quantity Index,"Percent change, annual rate",0,6.4,T10101
T10101,A191RL,1,Gross domestic product,1969Q2,Fisher Quantity Index,"Percent change, annual rate",0,1.2,T10101
T10101,A191RL,1,Gross domestic product,1969Q3,Fisher Quantity Index,"Percent change, annual rate",0,2.7,T10101
T10101,A191RL,1,Gross domestic product,1969Q4,Fisher Quantity Index,"Percent change, annual rate",0,-1.9,T10101
T10101,A191RL,1,Gross domestic product,1970Q1,Fisher Quantity Index,"Percent change, annual rate",0,-0.6,T10101
T10101,A191RL,1,Gross domestic product,1970Q2,Fisher Quantity Index,"Percent change, annual rate",0,0.6,T10101
T10101,A191RL,1,Gross domestic product,1970Q3,Fisher Quantity Index,"Percent change, annual rate",0,3.7,T10101
