"symbol","name","stockPrice","peRatio","marketCapitalization","divYield","revenueGrowth3yr","incomeGrowth3yr"
"IAG","iA Financial Corporation Inc.",155.13,13.58,14230869321,2.552697737381551,-21.8,14.56
"ATZ","Aritzia Inc. Subordinate Voting Shares",120.78,0,13940670247,,19.43,29.67
"TPX.A","Molson Coors Canada Inc. Class A Exchangeable Shares",74,,13906713810,3.5488864864864866,1.35,
"ALA","AltaGas Ltd.",46.36,18.02,13884178563,2.8817946505608285,-1.68,-9.08
"RSI.DB.G","Rogers Sugar Inc. Eighth Series 6.00% convertible unsecured subordinated debentures",108.3,11.91,13882101503,,7.49,
"TFII","TFI International Inc.",162.97,40.73,13388153685,1.5867698349389459,-3.44,49.24
"RSI.DB.H","Rogers Sugar Inc. Ninth Series 5.50% convertible unsecured subordinated debentures",103.25,11.91,13234782827,,7.49,
"DPM","DPM Metals Inc.",59.06,21.64,13109052923,0.3697527937690484,29.91,
"OGC","OceanaGold Corporation",58.01,15.44,13059315676,0.8503626960868815,-0.72,
"CAE","CAE Inc. Unlimited",40.45,33.95,13017022888,,8.08,
"CU","Canadian Utilities Limited Class A Non-Voting Shares",47.57,23.65,12945744563,3.887323943661972,-2.31,-11.57
"EFN","Element Fleet Management Corp.",32.49,23.83,12927739420,1.8467220683287164,-2.1,92.05
"X","TMX Group Limited",46.01,31.09,12800241588,2.086502934144751,46.77,27.84
"QBR.B","Quebecor Inc. Class B Subordinate Voting Shares",56.41,15.33,12787811248,2.8363765289842227,-1.84,2.44
"QBR.A","Quebecor Inc. Class A Multiple Voting Shares",57.7,15.33,12787811248,2.7729636048526864,-1.84,2.44
"GMIN","G Mining Ventures Corp.",55.86,34.85,12720647781,,,
"ELD","Eldorado Gold Corporation",63.35,24.62,12579442442,0.6527758484609313,27.72,
"TPX.B","Molson Coors Canada Inc. Class B Exchangeable Shares",66.72,,12538593857,3.936115107913669,1.35,
"OR","OR Royalties Inc.",64.63,56.2,12153671500,0.4664371035123008,5.1,
"CEF.U","Sprott Physical Gold and Silver Trust Transferable, redeemable units",56.31,1116.35,12110804150,,-73.3,
"FTT","Finning International Inc.",91.96,17.99,12030434525,1.3157894736842106,16.92,28.47
"KEY","Keyera Corp.",52.06,38.97,11936463505,4.149058778332693,0.34,3.41
"NFI.DB","NFI Group Inc. 5.0% unsecured convertible debentures",100.05,,11913541494,,18.37,
"QTRH.DB","Quarterhill Inc. 6.0% convertible unsecured subordinated debentures",100,,11708787000,,-20.16,
"TFPM","Triple Flag Precious Metals Corp.",56.4,33.11,11650582742,0.5587960141843972,36.78,
"CTC.A","Canadian Tire Corporation, Limited Class A Non-Voting Shares",191.33,23.05,11648537340,3.7631317618773847,9.37,19.27
"CTC","Canadian Tire Corporation, Limited",220,23.05,11648537340,3.272727272727273,9.37,19.27
"CHP.UN","Choice Properties Real Estate Investment Trust Units",15.86,,11479639240,4.85500630517024,3.75,-30.62
"NXE","NexGen Energy Ltd.",17.4,,11389362757,,,
"BTO","B2Gold Corp.",8.38,,11234411153,1.3029594272076372,20.89,-12.85
"EMP.A","Empire Company Limited Non-Voting Class A Shares",48.38,16.92,11134468463,1.818933443571724,0.95,8.31
"GLXY","Galaxy Digital Inc. - Class A",28.06,,10960525860,,,
"CS","Capstone Copper Corp.",14.11,25.32,10771021001,,22.07,
"SGY.DB.B","Surge Energy Inc. 8.50% Series 3 Convertible Unsecured Subordinated Debentures",106.99,20.62,10590304258,,-25.68,
"OLA","Orla Mining Ltd",29.5,138.53,10026938490,0.2813816949152542,76.55,
"CPX","Capital Power Corporation",64.03,22.01,9963452180,4.316726534436983,11.07,44.2
"FSV","FirstService Corporation",214.94,50.65,9883319709,0.7762643063180422,15.22,
"BBU.UN","Brookfield Business Partners L.P. Limited Partnership Units",46.55,,9788179289,0.7542320085929108,-20.96,
"BTB.DB.I","BTB Real Estate Investment Trust Series I 7.25% convertible, unsecured, subordinated debentures",109,10.46,9697287896,,3.79,
"GRGD","Groupe Dynamite Inc. Subordinate voting shares",88.77,56.95,9615952106,,,
"SOBO","South Bow Corporation",43.86,25.85,9133867456,6.392248062015504,,
"DSV","Discovery Silver Corp.",11.27,,9132583732,,,
"BIPC","Brookfield Infrastructure Corporation Class A Exchangeable Subordinate Voting Shares",68.02,,8986266674,3.6422341958247575,-8.19,
"SSRM","SSR Mining Inc.",43.87,17.09,8905659968,,12.39,21.44
"BLCO","Bausch + Lomb Corporation",24.83,,8868133448,,10.57,
"TF.DB.F","Timbercreek Financial Corp. 7.50% Convertible Unsecured Subordinated Debentures due June 30, 2029",103,16.52,8523581248,,18.01,
"OTEX","Open Text Corporation",33.79,14.09,8467867835,4.4313657886948805,24,11.02
"DFY","Definity Financial Corporation",68.28,20.42,8302848000,1.259519625073228,-12.8,
"TF.DB.D","Timbercreek Financial Corp. 5.25% Convertible Unsecured Subordinated Debentures due July 31, 2028",100,16.52,8275321600,,18.01,
"CIGI","Colliers International Group Inc. Subordinate Voting Shares",161.79,49.12,8268087200,0.2587353977378083,5.97,
"PRU","Perseus Mining Limited",5.95,15.99,8174726735,,41.92,90.18
"TF.DB.E","Timbercreek Financial Corp. 5.00% Convertible Unsecured Subordinated Debentures due December 31, 2",98.6,16.52,8159467098,,18.01,
